seed,gain,coh,n,p_net,p_mod
43,0.8,0.0,180,0.4,0.39249869951539407
43,0.8,0.03,186,0.5698924731182796,0.608857895262632
43,0.8,0.06,177,0.8248587570621468,0.8259909977426845
43,0.8,0.09,163,0.9631901840490797,0.9382198908570741
43,0.8,0.12,191,0.9947643979057592,0.9872399553997064
43,0.8,0.15,196,1.0,0.9990297699685811
43,1.0,-0.15,214,0.0,0.0008079439106737147
43,1.0,-0.12,168,0.005952380952380952,0.007383829186806018
43,1.0,-0.09,155,0.025806451612903226,0.0248936440042606
43,1.0,-0.06,183,0.08196721311475409,0.07220678406325778
43,1.0,-0.03,187,0.20855614973262032,0.2217494896772062
43,1.0,0.0,180,0.4388888888888889,0.4519065757996455
43,1.0,0.03,186,0.6559139784946236,0.6773932823772676
43,1.0,0.06,177,0.8926553672316384,0.867409948301108
43,1.0,0.09,163,0.950920245398773,0.9609952059465751
43,1.0,0.12,191,1.0,0.993218921106537
43,1.0,0.15,196,1.0,0.9988804351870746
43,1.2,-0.15,214,0.0,0.006238262753500742
43,1.2,-0.12,168,0.041666666666666664,0.02937370268270268
43,1.2,-0.09,155,0.06451612903225806,0.07123154715227983
43,1.2,-0.06,183,0.08743169398907104,0.12003265160789477
43,1.2,-0.03,187,0.28342245989304815,0.2536186343837548
43,1.2,0.0,180,0.42777777777777776,0.44965511438986916
43,1.2,0.03,186,0.5806451612903226,0.6031030975523188
43,1.2,0.06,177,0.7853107344632768,0.7845393326299321
43,1.2,0.09,163,0.9202453987730062,0.9074233528336716
43,1.2,0.12,191,0.9633507853403142,0.9608706798526078
43,1.2,0.15,196,1.0,0.982750852785363
44,0.8,-0.15,214,0.0,0.0005633729483458162
44,0.8,-0.12,168,0.011904761904761904,0.010384933006210859
44,0.8,-0.09,155,0.01935483870967742,0.01948415518662874
44,0.8,-0.06,183,0.04371584699453552,0.07391890167373857
44,0.8,-0.03,187,0.19786096256684493,0.18991346681405966
44,0.8,0.0,180,0.4222222222222222,0.3850590096577019
44,0.8,0.03,186,0.543010752688172,0.5900430542601337
44,0.8,0.06,177,0.8361581920903954,0.7956898802092819
44,0.8,0.09,163,0.9141104294478528,0.9168009947844559
44,0.8,0.12,191,0.9790575916230366,0.9793558928937615
44,0.8,0.15,196,0.9948979591836735,0.996809999469298
44,1.0,-0.15,214,0.0,0.0002513374686766671
44,1.0,-0.12,168,0.005952380952380952,0.0038864898227224413
44,1.0,-0.09,155,0.0064516129032258064,0.013306081743809314
44,1.0,-0.06,183,0.01639344262295082,0.048563139696379466
44,1.0,-0.03,187,0.20320855614973263,0.17958732086678367
44,1.0,0.0,180,0.4111111111111111,0.4154739413236377
44,1.0,0.03,186,0.6774193548387096,0.6612037583766418
44,1.0,0.06,177,0.8757062146892656,0.8678651426374533
44,1.0,0.09,163,0.9693251533742331,0.9660399801249029
44,1.0,0.12,191,0.9947643979057592,0.9955570470032509
44,1.0,0.15,196,0.9948979591836735,0.9997267008823709
44,1.2,-0.15,214,0.0,0.0004677242424204631
44,1.2,-0.12,168,0.005952380952380952,0.005386884507244253
44,1.2,-0.09,155,0.01935483870967742,0.019105362292144278
44,1.2,-0.06,183,0.04918032786885246,0.057285129426891124
44,1.2,-0.03,187,0.1925133689839572,0.1840579134284169
44,1.2,0.0,180,0.40555555555555556,0.4049324301952142
44,1.2,0.03,186,0.6344086021505376,0.6297366877637143
44,1.2,0.06,177,0.847457627118644,0.8419190118725113
44,1.2,0.09,163,0.9447852760736196,0.9485073280730688
44,1.2,0.12,191,0.9738219895287958,0.990044376948784
44,1.2,0.15,196,0.9948979591836735,0.9975629352089701
45,0.8,-0.15,214,0.0,0.0007610079268694504
45,0.8,-0.12,168,0.005952380952380952,0.01421662803437956
45,0.8,-0.09,155,0.01935483870967742,0.025939217741536492
45,0.8,-0.06,183,0.08743169398907104,0.09719930486700488
45,0.8,-0.03,187,0.25668449197860965,0.23369863994398574
